cnms,frequency,total_salecs
"Commercial, Regional, Business Jet&General Aviatio",9,7929.608
Wealth,6,7925.609
Utility - Residential,15,7915.174
Electronic commerce,4,7910.985000000001
Centers for Medicare and Medicaid Services,2,7901.035
Private pay,3,7882.514999999999
Kentucky,7,7834.901
Texas Competitive Electric Holdings Co LLC,8,7832.62
Boston,100,7788.371
Egypt,33,7762.287
Semiconductor Capital equip & Device manufacturers,8,7751.312
Large Pharmaceutical companies,7,7713.442999999999
International and global accounts,2,7698.0
Colorado,34,7689.379
"Residential repair, renovation and remodeling",7,7646.315
Dealers,18,7638.138
Digital sales,2,7614.5740000000005
Small biopharmaceutical companies,10,7613.229
Steel and Coke Producers,5,7603.103
Pharmaceutical Industry,7,7593.991
Light Vehicle,5,7575.557
EMEIA,5,7516.3
Nestle SA,25,7441.066
WAL-MART STORES,47,7436.199
Shell,55,7403.568
Jiangsu Electric Power Company,3,7398.674
Energy Transfer Crude Marketing LLC,2,7388.22
Mass capacity,1,7368.57
Life Sciences & Healthcare,11,7349.262000000001
Petrochina Co Ltd,4,7347.723
Berkshire Hathaway Inc,20,7307.992
Illinois,38,7304.89
Supermarket,6,7290.202
HOUSTON,4,7285.646
Advertising Agency Intermediary,7,7274.249
Consumer electronics/industrial/automotive,3,7255.4220000000005
Intenational,6,7254.959
2050 Customers,1,7242.75
Middle East,11,7231.961
Grocery Stores,3,7215.343
Fabless semiconductor companies,5,7207.104
Belgium,4,7199.304
47 Customers,7,7175.6089999999995
Communications and media,7,7169.119
Residential Sales,12,7162.2789999999995
14 Customers,36,7158.365
Industrial Solutions,2,7143.6720000000005
Other international,13,7130.939
Eagle Ford,7,7129.183
OPTAVIA,8,7123.755
Enterprise Customers,16,7122.356
Defense and Space,4,7121.379
Netherlands,11,7103.547
U.S. home centers,6,7097.646
PHILIP MORRIS INTERNATIONAL,13,7080.0
Wholesale Electricity Revenues-Electric,5,7041.0
Other managed care,3,7040.857
Broker Dealers,1,7000.0
Wholesale and other sales,4,6992.23
Retail trade,1,6976.593
Spotify Technology S.A,8,6930.360000000001
Maintenance,5,6891.692
Western United States,12,6882.4
"Europe, Central Asia",4,6880.9
"Independent Distri.,Dealers,Wholesalers & Similar",6,6864.822
Ascension Health,13,6822.947
Retail - residential,6,6816.8
Transactional clients,8,6806.679
Water & Environmental,2,6794.554
"Brazil, Argentina, Mexico, Puerto Rico",3,6744.611
Other United States,17,6703.414
AK Steel Corp,19,6693.615
Revenues out of scope,7,6691.552
Associates,10,6681.039
Warehouse,5,6637.3369999999995
External market,3,6607.728999999999
DISCRETE INDUSTRIES,2,6606.132
American Income Exclusive,8,6578.304
North Amercia,6,6571.5
Greater Boston,16,6551.512
Energy Branches,2,6542.0
SERVICE INDUSTRIES,2,6540.484
Industry,1,6529.0
Chemical and Petroleum,12,6517.5
Computing,3,6501.957
Outside US,9,6491.004
Large Commercial & Industrial,7,6482.0
"North America, Mexico",1,6476.916
SPRINT NEXTEL CORP,31,6470.278
U.S. Department of Education,25,6445.196
Petroleo Brasileiro SA - Petrobras,25,6432.929
Non-residential,4,6406.501
"Texas, Colorado, North Carolina, Georgia, and lowa",2,6402.727999999999
Foreign countries,8,6383.864
Passenger and Light Duty,5,6380.486000000001
Warehouse Sales,4,6374.458
Direct sales revenues,4,6370.561
Public Customers,7,6359.525
Medipal Holdings Corp,12,6359.119
Electric - Industrial,33,6357.332
Cattle,4,6320.0
Industrial and Consumer Products,11,6303.2
HOAs,9,6298.238
Other North America,2,6286.771000000001
Mass market customers,1,6277.0
Datacom,7,6273.335
Retail/e-commerce,4,6266.63
Transmission,10,6175.0
"Asia, Africa, and other",7,6161.159
Licensed energy suppliers,3,6149.0
Southeastern United States,15,6146.032999999999
Consumer Goods,3,6140.525
Electric energy sales - Large light and power,6,6124.532
Chemicals and Advanced Materials,4,6120.0
Electronic Distributors,10,6112.24
Latin America and the United States,1,6085.881
Cardinal Health Group,2,6082.32
Small Commercial/Industrial,6,6079.0
Managed Care and other third-party payors,1,6078.0
Life sciences,21,6067.513
Phillips 66 Co.,3,6054.9169999999995
Non-Strategic Service Providers,2,6036.535
43 Customers,1,6034.235
Abroad,26,6023.3189999999995
"Europe, Middle-East and Africa",5,6009.0
Individual,4,5989.919
"BG Gulf Coast LNG, LLC",4,5983.139999999999
Broadcast Market,15,5980.516
Contractors,8,5969.545
Home and Building Products,1,5967.0
Electric-Small Commercial & Industrial,13,5967.0
Guatemala,4,5964.0
General Purpose Test Market,3,5959.0
Industrial-Electric,32,5953.616
Original Equipment Market,1,5910.0
Retail Choice Customers,2,5894.0
Environmental,28,5889.844
Las Vegas Strip,7,5882.9220000000005
Industrial & Clean Tech,3,5874.1810000000005
Asia/Australia,3,5861.464
"PJM Interconnection, LLC",5,5835.88
Samsung Heavy Industries Co Ltd,3,5829.58
Mature Europe,2,5827.773999999999
Industrials,4,5805.815
Metropolitan Detroit,3,5800.743
Genentech Inc,98,5781.127
Non-U.S. Countries,12,5769.294
General service,4,5758.0
Korea and United States,2,5752.25
Europe Middle East Africa,10,5722.9
Business & Industry,1,5717.719
Medicaid MCO,6,5714.527
OEM and Contractors,5,5706.67
Europe ex Russia,3,5690.045
APS,1,5660.054
Commercial Aviation Industry,9,5639.43
Mass customers,1,5618.0
Infrastructure and manufacturing,1,5612.0
Department of Defense and U.S. Intelligence Commun,1,5603.0
Jalisco,3,5599.6630000000005
Oil refining,4,5579.541
Domestic Electric Generators,2,5563.8099999999995
Direct-to-Consumer,15,5560.434
Apparel Market,15,5559.915
Transactional,3,5537.149
Traditional trade,2,5520.620000000001
Healthcare,30,5507.806
Civil,3,5486.784
Core-Mark International Inc.,5,5486.09
Retail Choice Customers-Electric,2,5480.0
China Japan and South korea,5,5470.613
Managed care and commercial,6,5470.518
Original equipment manufacturer,7,5454.8369999999995
"Bearings and units, power transmission products",2,5452.56
Refrigeration & Food Equipment,3,5446.681
Retail - industrial,6,5444.9
Communications Test Market,5,5435.14
Wholesale channel,4,5427.8
Residential water,11,5421.271000000001
South America,12,5417.201
EUROPE,1,5416.406
Oil & Gas - Upstream,14,5380.854
Distributor Sales,5,5380.683
BCO Independent Contractors,4,5376.563
Aerospace,26,5372.989
Glencore Energy UK Ltd,7,5370.72
Financial,11,5368.466
HSBC Bank,4,5349.644
CHEVRON CORP(GS),21,5339.484
Shandong Electric Power Corporation,2,5326.124
"Otsuka Pharmaceutical Co., Ltd.",3,5320.0
3520 Customers,1,5310.153
Royal Dutch/Shell Grp Comb,4,5295.98
Small Commercial & Industrial - Electric,3,5289.0
Solutions,1,5282.0
"1,500 Customers",1,5240.86
Residential - Gas,10,5235.7210000000005
Corporate,8,5218.766
Company owned supply centers,6,5188.222
TJX Companies Inc (The),216,5184.887
Chain,1,5174.574
29 Customers,4,5173.121
Commercial Transport,15,5167.992
POLR,5,5137.0
Upstream,2,5121.4
Transport and infrastructure,1,5119.0
"Plains Marketing, L.P",8,5114.906
Commercial insurers,6,5100.25
Field Sales,6,5081.599
Replacement,3,5067.351
LIMITED BRANDS INC,21,5061.541
Western and Central Europe,2,5057.0
Electric - Small Commercial/Industrial,5,5043.6
"Texas, North Carolina, Colorado, California, Georg",1,5034.96
Commercial/Industrial,10,5033.251
Mass Market Customers,1,5027.0
"Industrial, Medical, Defense and Aerospace, and Au",1,5022.934
Retail - North America,6,5002.057
TEXAS HMO,3,5000.723
CONSUMER INDUSTRIES,2,4999.803
Managed care organizations,5,4984.329
Broadband Communications,12,4983.486
Online product,4,4969.915
Wholesale net sales,1,4969.6
South & Central America,27,4963.099
MetroNY/NJ,14,4938.581
Unregulated wholesale energy,2,4936.0
Electric-Industrial,21,4903.528
LATIN AMERICA,4,4897.339
Brokers & Merchants,6,4897.1849999999995
"Other Power Regions (New England, South, West, and",1,4890.0
Private Pay Residents,4,4886.904
Latin-America,15,4871.867
United states of America,5,4865.0
Coatings,3,4860.3099999999995
Natural Gas Retail - Residential,5,4852.8
"Europe, the Middle East, and Africa",3,4848.632
US Department of Education Title IV Programs,2,4847.638
Shell Trading Company,22,4831.497
Angola,22,4828.402
Indirect Ticket Sales,2,4826.159
Small commercial and industrial-Electric,4,4803.5
Residential & Business,14,4797.994
Academic,4,4797.964
EuroZone Countries,2,4788.0
Pennsylvania Counties,11,4782.1
Cliffs Steel,4,4763.8
OTHER,1,4751.0
"Europe, Middle East & Africa",13,4729.614
U.S. eCommerce,5,4717.866
Janssen,29,4705.569
Europe and CIS,4,4684.3279999999995
Commercial Payors,12,4680.39
United Stated of America,10,4676.533
3474 Customers,1,4672.475
E-commerce/retail,2,4670.83
Full service distributors,4,4638.082
Import Franchises,3,4632.876
Transportation Industry,31,4620.829
Europe and Other,2,4596.885
EMENA,5,4580.892
Israeli Ministry of Defense,10,4574.511
Direct OEM sales,15,4563.732
Outside the United States and Canada,9,4553.104
Non-Residential,2,4545.45
Ono Pharmaceutical Co Ltd,29,4539.628
Out side of U.S.,3,4538.07
U.S. Federal Government Agencies,8,4519.937
Personal electronics,1,4515.85
Business Services,65,4503.485
Asia (incl. South Asia),1,4486.61
Other State government agencies,6,4475.401
Commercial and Residential,15,4468.846
International wholesale,4,4461.942
Tech and Games,4,4449.0
Retail electric-Residential,7,4441.506
Enterprise / End Users,4,4420.006
Mechanical contractors,1,4419.71
Large light and power,5,4413.397
London,9,4406.8769999999995
Other Outside North America,1,4390.507
"U.S. Army, Navy, and Air force",2,4387.0
Residential Customer,1,4383.0
Ghana,7,4377.164
Petroleum industry,13,4366.761
South,8,4362.737
Recreational Vehicle Industry,8,4358.976000000001
Direct to Consumer (DTC) - Zegna branded products,5,4357.445
Plastic processing,4,4354.74
Ocwen Financial Corp,14,4345.272
Emergency Department,2,4327.512000000001
3669 Customers,1,4320.796
All Other,47,4308.018
U.S. Department of Defense (DoD),1,4305.0
"United Kingdom , Continental Europe & Canada",4,4298.4259999999995
OE - Substrate,1,4291.0
Subsea Communications,7,4283.38
CANADA,5,4281.134
FINANCIAL SERVICES,6,4276.276
Biopharma & healthcare,1,4273.668
Kaiser foundation hospitals,10,4273.0470000000005
Semiconductor Equipment,15,4267.307
"Other Asia Pacific (excl., China)",3,4263.0
North American integrated steel industry,2,4233.399
Industrial Products and Other,3,4225.0
LOWE'S COMPANIES INC,41,4218.8640000000005
Governmental Agencies,5,4213.483
Panama,2,4196.726000000001
"E-commerce, omnichannel retail and consumer techno",1,4191.0
Dow Hydrocarbons & Resources LLC,11,4190.562
Home center retailers,5,4189.019
Retail net sales,1,4184.6
Rappahannock Electric Cooperative,15,4168.4
88 Customers,1,4160.795
Albuquerque,8,4149.881
North American,1,4144.77
Drilling & Production,4,4139.247
Industrial equipment,3,4132.93
Enterprise networking,4,4131.736
Mortgage,3,4125.776
Retail electric-Large commercial & industrial,8,4125.253
Electric - Small Commercial & Industrial,2,4116.0
Telecom & Wireless,5,4092.6800000000003
Direct customers and OEMs,2,4090.607
U.S. Immigration and Customs Enforcement,6,4085.748
Europe and Africa,3,4078.0
Washington D.C./Baltimore/Maryland,3,4071.0689999999995
Petroleo Brasileiro S.A.,9,4070.8799999999997
"Arizona, California, Florida, New Jersey and Texas",1,4056.288
Software & Hi-Tech,10,4053.456
ONEOK Hydrocarbon L.P.,5,4052.39
Coca-Cola Bottlers Sales & Services Company LLC,4,4034.06
"NGL Crude Logistics, LLC",9,4031.466
Energy Transfer Affiliates,2,4029.161
BP Energy Company,20,4026.493
"PJM Settlement, Inc.",5,3999.0
Residential New Construction,2,3998.573
Asia and Latin America,1,3995.94
Distribution and Transmission grid-Consumers,2,3985.9139999999998
Saudi Arabia,5,3976.6620000000003
Light & Heavy Manufacturing,2,3976.65
Wireless communications,4,3965.34
Asia and Other Countries,2,3951.2879999999996
Central American,2,3934.3459999999995
Homes,1,3928.0
Independent Tire Retailers,1,3923.944
New York City,10,3920.616
"Europe, Middle East, Africa and South Asia",2,3910.308
T-Mobile,9,3909.622
Middle East/North Africa,1,3906.0
BioPharmaceuticals,5,3905.0789999999997
Street,1,3903.626
3420 Customers,1,3901.111
Lower 48,4,3898.904
Stripes LLC,2,3887.915
General construction,1,3885.2
Latvia,22,3885.056
Seagate Technology Plc,12,3884.874
3116 Customers,1,3873.578
Navy,11,3870.434
China Petroleum & Chemical Corp.,4,3865.84
Fuel and Other Pass,2,3848.0
10 customers,8,3845.879
Astellas Pharma Inc,68,3822.8559999999998
"New York, Washington, DC, San Diego, San Francisco",1,3822.64
Europe and Asia,18,3822.096
Growth Markets,2,3819.87
Computing Market,1,3817.0
Gas - Residential,7,3814.0
Personal Banking,1,3812.953
86 Customers,1,3809.56
US Department of Defense & US Intelligence Co,1,3802.0
General Engineering,6,3801.879
Huawei Technology Co Ltd,112,3797.786
National Accounts,12,3779.498
Heavy Industries,7,3764.885
Commercial Customers,4,3759.7780000000002
Drug Wholesalers and Store Chains,11,3759.0119999999997
Commercial and Industrial-Electric,3,3756.594
OEM and Subcontractor,5,3750.4
"Texas, Colorado, North Carolina, Minnesota and Cal",1,3748.288
Space,29,3732.716
1400 Customers,1,3731.16
Mobile Devices,6,3729.418
Outside of Israel,4,3720.344
Wholesaler/Distributor,12,3709.542
Western Canada,3,3699.687
Refinery and Performance,8,3685.8
Travel Trailers & Fifth-wheels,5,3680.187
B2B,3,3671.309
Central & South America,18,3658.1549999999997
Other State Correctional Authorities,6,3658.0
Personal,1,3656.74
Small commercial and industrial,3,3652.831
Retail Building Materials,4,3645.867
End consumers,2,3627.725
Brick and Mortar Retailers,5,3626.858
Brick and mortar stores sales,3,3617.801
3133 Customers,1,3611.289
Missouri,22,3604.2889999999998
Information Technology,21,3603.429
UnitedHealthcare,22,3598.245
Oil & Gas Production,5,3595.379
ANHEUSER-BUSCH COS INC,4,3594.97
BHP Billiton Ltd,1,3585.028
Southern Wine and Spirits,11,3574.147
Electric-Commercial,15,3549.56
NASCAR-sanctioned events,9,3549.5280000000002
PUBLIC SERVICES,2,3542.547
"Accredo Health Group, Inc.",6,3541.226
Military,16,3541.066
Residential-Firm,12,3538.39
Firm - Residential,12,3538.39
International Incl. Puerto Rico & Excl. Canada,1,3538.32
Local Customers,3,3534.9
Nokia Corp,61,3526.757
Petredec (Europe) Limited,3,3521.765
Leisure travelers,7,3511.754
Eastern Hemisphere,5,3509.17
Other outside China,4,3498.121
Oregon,7,3492.43
"Texas, Colorado, North Carolina, Georgia&Minnesota",1,3478.404
Wholesale - North America,5,3469.121
Republic National Distributing Company,6,3465.36
Processed foods industry,2,3464.92
Consumer Healthcare,14,3464.618
Connecticut,4,3464.375
Tires/Rubber Goods,7,3457.9700000000003
Company Mill Direct/Service & Sales Centers,14,3451.483
Advertising Agencies,16,3442.67
Enterprise Communications,2,3441.58
U.S. Federal Government and agencies,5,3430.8
Consumer Goods & Services,4,3410.704
OHIO HMO,3,3402.169
DowDuPont Inc,4,3399.91
BP America Inc,21,3388.818
Outside the U.S. and Puerto Rico,1,3385.9
Scorpio MR Pool Ltd,10,3380.8360000000002
Offline Distributors,7,3374.187
DAIMLER AG,4,3373.924
AT&T Mobility LLC,21,3373.493
Technology and healthcare,9,3367.76
Private Owners,2,3361.787
Legal,28,3361.221
Data Communications,4,3358.82
BT Ireland,3,3358.0699999999997
Pumps,6,3355.965
Retail-Small Commercial & Industrial,1,3343.0
ONEOK Hydrocarbon LP,3,3342.8
"U.S., Canada, and Western Europe",8,3334.553
Pulp,3,3327.4120000000003
Office Depot Inc,13,3325.8869999999997
Crude Oil Tanker Market,5,3305.551
US Dept Health & Human Services,9,3304.257
Royal Dutch Shell Plc,9,3301.852
General Industrial,3,3299.895
Communications and Media,6,3294.9
Carrier infrastructure,4,3294.477
Induatrial and Other,2,3284.418
Residential - Retail electric,7,3280.192
Oil & Natural Gas,3,3261.555
Nuclear Decommissioning Authority,3,3255.3030000000003
China/Hong Kong,1,3255.0
Patterson Companies Inc,21,3247.819
BioPharma,2,3244.292
Residential and Commercial-Gas,5,3237.252
Investment Management Customers,5,3234.514
Regional spring water,1,3234.5
Mississippi,9,3223.376
Post-Paid Subscriptions,2,3217.174
Senegal,8,3212.389
Local Businesses,3,3206.108
"Louisiana, Tennessee, Arkansas, Mississippi, Kent",3,3201.785
Private sector,12,3198.498
Centers for Medicare & Medicaid Services,2,3194.869
Multinational Pharmaceutical,10,3189.717
Physical Retail and Other,4,3188.478
3063 Customers,1,3183.781
PETROBRAS BRASILEIRO SA -ADR,7,3178.844
Downstream,1,3173.0
Exhibitions,6,3172.106
Other Asia,1,3167.32
Residential - Excluding Delivery Service Only,2,3156.0
North  America,1,3147.9
NORTH/SOUTH CAROLINA,4,3121.813
Home and office bottled water delivery,3,3121.4
